,Sensor,Method,Accuracy,F1,Recall,Precision,FNR,FPR
0,sensor_00,Cutoff,97.8,85.63,99.92,74.92,0.01,25.08
14,sensor_00,IQR,91.54,60.83,100.0,43.71,0.0,56.29
7,sensor_00,Z-Score,99.1,93.58,99.66,88.21,0.02,11.79
21,sensor_00,Z-Score-Local,99.1,93.48,97.96,89.4,0.14,10.6
1,sensor_01,Cutoff,96.64,75.9,80.52,71.79,1.38,28.21
15,sensor_01,IQR,97.95,83.77,80.43,87.4,1.37,12.6
8,sensor_01,Z-Score,95.32,69.31,80.35,60.94,1.41,39.06
22,sensor_01,Z-Score-Local,92.85,59.95,81.37,47.46,1.38,52.54
2,sensor_02,Cutoff,97.91,83.5,80.35,86.91,1.38,13.09
16,sensor_02,IQR,95.82,73.91,90.09,62.66,0.72,37.34
9,sensor_02,Z-Score,97.88,83.41,81.25,85.69,1.31,14.31
23,sensor_02,Z-Score-Local,96.81,77.6,83.99,72.12,1.14,27.88
3,sensor_04,Cutoff,98.84,91.75,97.86,86.35,0.15,13.65
17,sensor_04,IQR,99.04,93.03,97.85,88.66,0.15,11.34
10,sensor_04,Z-Score,99.05,93.1,97.84,88.8,0.15,11.2
24,sensor_04,Z-Score-Local,98.38,87.41,85.62,89.27,1.01,10.73
4,sensor_10,Cutoff,98.5,89.71,99.63,81.59,0.03,18.41
18,sensor_10,IQR,98.59,90.25,99.5,82.57,0.04,17.43
11,sensor_10,Z-Score,99.02,93.02,99.12,87.63,0.06,12.37
25,sensor_10,Z-Score-Local,99.2,94.02,96.18,91.96,0.27,8.04
5,sensor_42,Cutoff,95.55,65.06,62.99,67.28,2.59,32.72
19,sensor_42,IQR,94.63,63.21,70.13,57.53,2.14,42.47
12,sensor_42,Z-Score,95.7,64.67,59.87,70.31,2.79,29.69
26,sensor_42,Z-Score-Local,96.03,66.22,59.13,75.23,2.83,24.77
6,sensor_49,Cutoff,92.01,60.48,92.95,44.82,0.54,55.18
20,sensor_49,IQR,98.05,85.7,88.88,82.73,0.79,17.27
13,sensor_49,Z-Score,88.33,50.63,91.05,35.07,0.71,64.93
27,sensor_49,Z-Score-Local,94.24,61.65,70.39,54.85,2.13,45.15
